,Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Work_of_casuality,Fitness_of_casuality,Pedestrian_movement,Cause_of_accident,Hour
7692,Saturday,31-50,Male,Junior high school,Employee,1-2yr,Public (13?45 seats),Owner,2-5yrs,,Other,Undivided Two way,Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,2,Going straight,na,na,na,na,,,Not a Pedestrian,Driving under the influence of drugs,17
7693,Friday,18-30,Male,Illiterate,Owner,1-2yr,Lorry (11?40Q),Owner,2-5yrs,,Residential areas,Undivided Two way,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,na,na,na,na,,,Not a Pedestrian,No distancing,7
7694,Friday,18-30,Male,Junior high school,Owner,Below 1yr,Lorry (11?40Q),Owner,Unknown,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,No distancing,7
7695,Sunday,18-30,Male,Junior high school,Owner,1-2yr,Pick up upto 10Q,Owner,5-10yrs,7,,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,3,Getting off,Driver or rider,Female,Over 51,3,Driver,Normal,Not a Pedestrian,No priority to vehicle,13
7696,Sunday,18-30,Male,Junior high school,Owner,2-5yr,Automobile,Owner,Unknown,7,Other,other,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,3,Going straight,na,na,na,na,,,Not a Pedestrian,Driving to the left,13
7697,Sunday,18-30,Male,Unknown,Owner,5-10yr,Automobile,Owner,Unknown,No defect,Office areas,,Steep grade downward with mountainous terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,3,Going straight,na,na,na,na,,,Not a Pedestrian,No priority to vehicle,13
7698,Tuesday,31-50,Male,Unknown,Owner,Above 10yr,Automobile,Governmental,Unknown,No defect,School areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,1,2,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,No priority to vehicle,16
7699,Tuesday,31-50,Male,Junior high school,Owner,2-5yr,Long lorry,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Steep grade downward with mountainous terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,1,2,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,No priority to vehicle,16
7700,Tuesday,Unknown,Male,Elementary school,Owner,Above 10yr,Long lorry,Owner,5-10yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with rolling terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,2,Turnover,na,na,na,na,,,Not a Pedestrian,No distancing,16
7701,Tuesday,31-50,Male,Writing & reading,Owner,5-10yr,Automobile,Governmental,Unknown,No defect, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Collision with roadside objects,2,2,Entering a junction,Driver or rider,Male,18-30,3,Driver,,Not a Pedestrian,Moving Backward,16
7702,Tuesday,31-50,Male,Unknown,Owner,Unknown,Stationwagen,,Unknown,,Office areas,,Tangent road with mild grade and flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Collision with roadside objects,2,2,Entering a junction,Pedestrian,Female,31-50,3,Driver,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Changing lane to the right,16
7703,Tuesday,18-30,Male,Junior high school,Owner,5-10yr,,Owner,Unknown,,Other,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Entering a junction,Driver or rider,Male,Over 51,3,Driver,Normal,Not a Pedestrian,Driving carelessly,7
7704,Tuesday,31-50,Male,Junior high school,Owner,Below 1yr,Other,Governmental,Unknown,No defect,Residential areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Entering a junction,na,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the left,7
7705,Saturday,31-50,Male,Junior high school,Owner,2-5yr,Special vehicle,Owner,Unknown,,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,3,2,Other,Passenger,Male,Under 18,3,Driver,Normal,Not a Pedestrian,No distancing,16
7706,Saturday,31-50,Male,Elementary school,Employee,2-5yr,Lorry (41?100Q),Owner,Unknown,,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,,Dry,Daylight,Normal,Vehicle with vehicle collision,3,2,Entering a junction,na,na,na,na,,,Not a Pedestrian,Changing lane to the right,16
7707,Saturday,31-50,Male,Junior high school,Employee,2-5yr,Pick up upto 10Q,Owner,Below 1yr,,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,2,Turnover,Pedestrian,Female,Over 51,3,Driver,,Crossing from offside - masked by  parked or statioNot a Pedestrianry vehicle,Driving under the influence of drugs,16
7708,Saturday,Unknown,Male,Junior high school,Employee,2-5yr,Lorry (11?40Q),Organization,1-2yr,, Church areas,,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,2,Entering a junction,Pedestrian,Male,18-30,3,Driver,Normal,Unknown or other,No distancing,16
7709,Tuesday,31-50,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,Unknown,,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Entering a junction,Driver or rider,Male,31-50,3,Self-employed,Normal,Not a Pedestrian,Overturning,15
7710,Monday,18-30,Male,Junior high school,Employee,5-10yr,Motorcycle,Owner,1-2yr,,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Entering a junction,Driver or rider,Male,18-30,3,Employee,Normal,Not a Pedestrian,No distancing,18
7711,Monday,18-30,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Unknown,,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Entering a junction,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Changing lane to the right,18
7712,Friday,31-50,Male,Elementary school,Employee,5-10yr,Automobile,Owner,5-10yrs,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,O Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Entering a junction,na,na,na,na,Other,Normal,Not a Pedestrian,No priority to vehicle,7
7713,Friday,Unknown,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,O Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,Pedestrian,Male,18-30,3,Self-employed,Normal,Not a Pedestrian,Changing lane to the right,7
7714,Monday,Under 18,Male,Junior high school,Employee,Above 10yr,Stationwagen,Owner,Unknown,No defect,Residential areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Passenger,Female,Over 51,3,Self-employed,Normal,Not a Pedestrian,Changing lane to the left,13
7715,Monday,Above 50,Male,Elementary school,Owner,Unknown,,Owner,Unknown,No defect, Church areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Employee,Normal,Not a Pedestrian,No distancing,13
7716,Thursday,Unknown,Male,Junior high school,Owner,5-10yr,Public (> 45 seats),Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,4,1,Other,na,na,na,na,Self-employed,Normal,Not a Pedestrian,No priority to pedestrian,11
7717,Thursday,Unknown,Male,Junior high school,Employee,5-10yr,Public (> 45 seats),Owner,Unknown,No defect,  Recreational areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,4,1,Going straight,Driver or rider,Male,18-30,2,,,Not a Pedestrian,Driving carelessly,11
7718,Thursday,Unknown,Male,Junior high school,Employee,Below 1yr,Stationwagen,,Unknown,,,,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,4,1,Going straight,Pedestrian,Female,31-50,3,Driver,Normal,Crossing from driver's nearside,No distancing,11
7719,Thursday,31-50,Male,Unknown,,Unknown,Automobile,Owner,Unknown,No defect, Industrial areas,Undivided Two way,Tangent road with mild grade and flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,4,1,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Driving carelessly,11
7720,Tuesday,18-30,Male,Junior high school,Employee,5-10yr,Bicycle,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Driving carelessly,7
7721,Tuesday,31-50,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Unknown,,Other,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Male,31-50,3,Driver,Normal,Unknown or other,Moving Backward,7
7722,Friday,31-50,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,5-10yrs,No defect, Church areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Reversing,Driver or rider,Male,18-30,2,,,Not a Pedestrian,Overtaking,17
7723,Tuesday,Unknown,Male,High school,Employee,Above 10yr,Automobile,Owner,5-10yrs,No defect, Church areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,na,na,na,na,Driver,Normal,Not a Pedestrian,No priority to vehicle,18
7724,Tuesday,Above 50,Male,Junior high school,Employee,Above 10yr,Public (13?45 seats),Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Overtaking,Driver or rider,Male,31-50,3,,,Not a Pedestrian,No priority to vehicle,18
7725,Tuesday,18-30,Male,Junior high school,Employee,Above 10yr,Special vehicle,Owner,Unknown,No defect,Other,One way,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Passenger,Male,18-30,2,Driver,Normal,Not a Pedestrian,Changing lane to the left,15
7726,Thursday,Above 50,Male,Junior high school,Employee,Above 10yr,Automobile,Governmental,2-5yrs,,  Recreational areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,3,Going straight,Passenger,Female,18-30,3,Self-employed,Normal,Not a Pedestrian,No priority to vehicle,17
7727,Thursday,Above 50,Male,Junior high school,Employee,Above 10yr,Public (13?45 seats),Owner,2-5yrs,,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,No distancing,17
7728,Thursday,31-50,Male,Junior high school,Employee,5-10yr,,Owner,5-10yrs,,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Moving Backward,17
7729,Wednesday,Unknown,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,5-10yrs,No defect, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,,2,1,Going straight,na,na,na,na,Self-employed,Normal,Not a Pedestrian,Changing lane to the right,12
7730,Wednesday,Above 50,Male,Junior high school,Employee,Below 1yr,Lorry (41?100Q),Owner,2-5yrs,,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,Pedestrian,Male,18-30,3,Driver,Normal,Not a Pedestrian,No distancing,12
7731,Thursday,Under 18,Male,Junior high school,Employee,Below 1yr,Public (12 seats),,Unknown,No defect,Office areas,Undivided Two way,Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,4,Going straight,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,Overtaking,16
7732,Thursday,18-30,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,2-5yrs,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,4,Going straight,na,na,na,na,Self-employed,Normal,Not a Pedestrian,No distancing,16
7733,Thursday,18-30,Male,Elementary school,Employee,Below 1yr,Lorry (41?100Q),Governmental,Unknown,,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,4,Going straight,Driver or rider,Male,31-50,3,,,Not a Pedestrian,Changing lane to the left,16
7734,Thursday,Above 50,Male,Junior high school,Employee,Below 1yr,Public (12 seats),Owner,2-5yrs,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,3,4,Going straight,na,na,na,na,Self-employed,Normal,Not a Pedestrian,Driving under the influence of drugs,16
7735,Tuesday,31-50,Male,Junior high school,Employee,Unknown,Public (> 45 seats),Owner,2-5yrs,,Residential areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,4,Going straight,Passenger,Male,Under 18,3,Self-employed,Normal,Not a Pedestrian,No distancing,11
7736,Tuesday,31-50,Male,Unknown,Employee,5-10yr,Automobile,Owner,Unknown,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,,2,4,Other,na,na,na,na,Self-employed,Normal,Not a Pedestrian,No distancing,11
7737,Tuesday,31-50,Male,Writing & reading,Employee,Below 1yr,Pick up upto 10Q,Owner,Unknown,No defect,Other,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,4,Going straight,Pedestrian,Male,18-30,3,Driver,Normal,Unknown or other,Changing lane to the right,11
7738,Tuesday,18-30,Male,Junior high school,Employee,Below 1yr,Stationwagen,Owner,Unknown,No defect, Hospital areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,,2,4,Moving Backward,Driver or rider,Male,Over 51,3,,,Not a Pedestrian,Changing lane to the left,11
7739,Thursday,Unknown,Male,Junior high school,Employee,1-2yr,Other,Governmental,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,,2,1,Other,na,na,na,na,Student,Normal,Not a Pedestrian,Moving Backward,15
7740,Thursday,Under 18,Male,Elementary school,Employee,Above 10yr,,Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,No distancing,15
7741,Thursday,Unknown,Female,Elementary school,Employee,Above 10yr,Automobile,Owner,Unknown,No defect,  Recreational areas,One way,Tangent road with mild grade and flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,,,Not a Pedestrian,No distancing,7
7742,Thursday,18-30,Male,Elementary school,Employee,Below 1yr,Stationwagen,Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Self-employed,Normal,Not a Pedestrian,Driving carelessly,7
7743,Saturday,31-50,Male,High school,Employee,2-5yr,Pick up upto 10Q,Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,5,3,Self-employed,Normal,Not a Pedestrian,Moving Backward,19
7744,Saturday,18-30,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,No distancing,19
7745,Thursday,18-30,Male,Above high school,Employee,Above 10yr,Automobile,Owner,Below 1yr,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,,Normal,Not a Pedestrian,Changing lane to the right,19
7746,Thursday,Above 50,Male,Junior high school,Employee,2-5yr,,Owner,2-5yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Other,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,,,Not a Pedestrian,Driving carelessly,19
7747,Tuesday,31-50,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,Unknown,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Self-employed,Normal,Not a Pedestrian,Driving to the left,16
7748,Tuesday,Unknown,Male,High school,Employee,1-2yr,Lorry (41?100Q),Owner,5-10yrs,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the right,16
7749,Friday,Above 50,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,Driver or rider,Male,31-50,2,,Normal,Not a Pedestrian,Driving carelessly,8
